web-scraper-order,web-scraper-start-url,category-links,category-links-href,subcategory-links,subcategory-links-href,product-links,product-links-href,name,price
"1645362426-33","https://els.id","Personal Computer","https://els.id/personal-computer.html","Smartphone","https://els.id/smartphone/smartphone.html","Samsung Galaxy A22 (6/128GB) Duos - Black","https://els.id/samsung-galaxy-a22-6-128gb-duos-black.html","Samsung Galaxy A22 (6/128GB) Duos - Black","IDR2,999,000"
"1645362449-43","https://els.id","Personal Computer","https://els.id/personal-computer.html","Macbook","https://els.id/laptop/macbook.html","Apple Macbook Pro 13 2020 MYD92ID - Grey [Apple M1-RAM 8GB-SSD 512GB]","https://els.id/apple-macbook-pro-13-2020-myd92id-grey-apple-m1-ram-8gb-ssd-512gb-macos.html","Apple Macbook Pro 13 2020 MYD92ID - Grey [Apple M1-RAM 8GB-SSD 512GB]","IDR22,880,000"
"1645362557-88","https://els.id","Personal Computer","https://els.id/personal-computer.html","Laptop Mainstream","https://els.id/laptop/laptop-mainstream.html","Asus VivoBook A516KA-FHD422 - Silver [Celeron N4500-4GB-SSD 256GB]","https://els.id/asus-vivobook-a516ka-fhd422-silver-celeron-n4500-4gb-ssd-256gb.html","Asus VivoBook A516KA-FHD422 - Silver [Celeron N4500-4GB-SSD 256GB]","IDR5,999,000"
"1645362491-59","https://els.id","Personal Computer","https://els.id/personal-computer.html","Laptop Premium","https://els.id/laptop/laptop-premium.html","Asus Creator M7600QE-OLED914 - Meteor White [Ryzen 9 5900H-16GB-SSD 1TB-RTX3050Ti]","https://els.id/asus-creator-m7600qe-oled914-meteor-white-ryzen-9-5900h-16gb-ssd-1tb-rtx3050ti.html","Asus Creator M7600QE-OLED914 - Meteor White [Ryzen 9 5900H-16GB-SSD 1TB-RTX3050Ti]","IDR22,499,000"
"1645362397-23","https://els.id","Personal Computer","https://els.id/personal-computer.html","All In One PC","https://els.id/personal-computer/all-in-one-pc.html","All In One Acer C24-1650 (i3-1115G4) (LED 22' FHD)","https://els.id/all-in-one-acer-c24-1650-i3-1115g4-led-22-fhd.html","All In One Acer C24-1650 (i3-1115G4) (LED 22' FHD)","IDR8,499,000"
"1645362526-74","https://els.id","Personal Computer","https://els.id/personal-computer.html","Laptop Gaming","https://els.id/laptop/laptop-gaming.html","Acer Gaming Helios 300 PH315-54-94U7 - Black [i9 11900H-16GB-SSD 512GB-RTX3070]","https://els.id/acer-gaming-helios-300-ph315-54-94u7-black-i9-11900h-16gb-ssd-512gb-rtx3070.html","Acer Gaming Helios 300 PH315-54-94U7 - Black [i9 11900H-16GB-SSD 512GB-RTX3070]","IDR29,999,000"
"1645362377-14","https://els.id","Personal Computer","https://els.id/personal-computer.html","All In One PC","https://els.id/personal-computer/all-in-one-pc.html","All In One Lenovo IC3-24ALC6 (5YID) - White (LED 24' FHD)","https://els.id/all-in-one-lenovo-ic3-24alc6-5yid-white-led-24-fhd.html","All In One Lenovo IC3-24ALC6 (5YID) - White (LED 24' FHD)","IDR12,499,000"
"1645362413-29","https://els.id","Personal Computer","https://els.id/personal-computer.html","Tablet","https://els.id/smartphone/tablet.html","Apple Ipad Mini Wifi MUQW2PA/A (64GB) - Space Grey","https://els.id/apple-ipad-mini-wifi-muu32pa-a-64gb-space-grey.html","Apple Ipad Mini Wifi MUQW2PA/A (64GB) - Space Grey","IDR7,140,000"
"1645362407-26","https://els.id","Personal Computer","https://els.id/personal-computer.html","Tablet","https://els.id/smartphone/tablet.html","Apple Ipad Mini Wifi + Cell MUXC2PA/A (256GB) - Space Grey","https://els.id/apple-ipad-mini-wifi-cell-muxc2pa-a-256gb-space-grey.html","Apple Ipad Mini Wifi + Cell MUXC2PA/A (256GB) - Space Grey","IDR12,340,000"
"1645362466-49","https://els.id","Personal Computer","https://els.id/personal-computer.html","Laptop 2IN1 & 360","https://els.id/laptop/laptop-2in1-360.html","HP Pavilion 14-dy0065TU Touch 360⁰ - Gold [i7 1165G7-8GB-SSD 512GB]","https://els.id/hp-pavilion-14-dy0065tu-touch-360-gold-i7-1165g7-8gb-ssd-512gb.html","HP Pavilion 14-dy0065TU Touch 360⁰ - Gold [i7 1165G7-8GB-SSD 512GB]","IDR15,099,000"
"1645362477-54","https://els.id","Personal Computer","https://els.id/personal-computer.html","Laptop 2IN1 & 360","https://els.id/laptop/laptop-2in1-360.html","Asus Zenbook UX363EA-OLED712 Touch 360⁰ - Pine Grey [i7 1165G7-16GB-SSD 1TB]","https://els.id/asus-zenbook-ux363ea-oled712-touch-360-pine-grey-i7-1165g7-16gb-ssd-1tb.html","Asus Zenbook UX363EA-OLED712 Touch 360⁰ - Pine Grey [i7 1165G7-16GB-SSD 1TB]","IDR21,499,000"
"1645362424-32","https://els.id","Personal Computer","https://els.id/personal-computer.html","Smartphone","https://els.id/smartphone/smartphone.html","Samsung Galaxy A32 (8/128GB) Duos - Violet","https://els.id/samsung-galaxy-a32-8-128gb-duos-violet.html","Samsung Galaxy A32 (8/128GB) Duos - Violet","IDR3,655,000"
"1645362508-67","https://els.id","Personal Computer","https://els.id/personal-computer.html","Laptop Premium","https://els.id/laptop/laptop-premium.html","Asus Creator K3400PH-OLED755 - Cool Silver [i7 11370H-16GB-SSD 512GB-GTX1650]","https://els.id/asus-creator-k3400ph-oled755-cool-silver-i7-11370h-16gb-ssd-512gb-gtx1650.html","Asus Creator K3400PH-OLED755 - Cool Silver [i7 11370H-16GB-SSD 512GB-GTX1650]","IDR16,499,000"
"1645362534-78","https://els.id","Personal Computer","https://els.id/personal-computer.html","Laptop Gaming","https://els.id/laptop/laptop-gaming.html","MSI Gaming Katana GF66-12UC-240ID - Black [i7 12700H-8GB-SSD 512GB-RTX3050]","https://els.id/msi-gaming-katana-gf66-12uc-240id-black-i7-12700h-8gb-ssd-512gb-rtx3050.html","MSI Gaming Katana GF66-12UC-240ID - Black [i7 12700H-8GB-SSD 512GB-RTX3050]","IDR17,499,000"
"1645362409-27","https://els.id","Personal Computer","https://els.id/personal-computer.html","Tablet","https://els.id/smartphone/tablet.html","Apple Ipad Mini Wifi + Cell MUX52PA/A (64GB) - Space Grey","https://els.id/apple-ipad-mini-wifi-cell-muxc2pa-a-64gb-space-grey.html","Apple Ipad Mini Wifi + Cell MUX52PA/A (64GB) - Space Grey","IDR9,560,000"
"1645362563-91","https://els.id","Personal Computer","https://els.id/personal-computer.html","Laptop Mainstream","https://els.id/laptop/laptop-mainstream.html","Asus VivoBook A516KA-FHD621 - Grey [Pentium Silver N6000-4GB-SSD 256GB]","https://els.id/asus-vivobook-a516ka-fhd621-grey-pentium-silver-n6000-4gb-ssd-256gb.html","Asus VivoBook A516KA-FHD621 - Grey [Pentium Silver N6000-4GB-SSD 256GB]","IDR6,499,000"
"1645362502-64","https://els.id","Personal Computer","https://els.id/personal-computer.html","Laptop Premium","https://els.id/laptop/laptop-premium.html","Acer Swift X SFX14-41G-R4VL - Blue [Ryzen 5 5500U-16GB-SSD 512GB-RTX3050]","https://els.id/acer-swift-x-sfx14-41g-r4vl-blue-ryzen-5-5500u-16gb-ssd-512gb-rtx3050.html","Acer Swift X SFX14-41G-R4VL - Blue [Ryzen 5 5500U-16GB-SSD 512GB-RTX3050]","IDR13,999,000"
"1645362432-36","https://els.id","Personal Computer","https://els.id/personal-computer.html","Smartphone","https://els.id/smartphone/smartphone.html","Samsung Galaxy A12 (A127) (6/128GB) Duos -  White","https://els.id/samsung-galaxy-a12-a127-6-128gb-duos-white.html","Samsung Galaxy A12 (A127) (6/128GB) Duos -  White","IDR2,499,000"
"1645362430-35","https://els.id","Personal Computer","https://els.id/personal-computer.html","Smartphone","https://els.id/smartphone/smartphone.html","Samsung Galaxy A12 (A127) (6/128GB) Duos -  Blue","https://els.id/samsung-galaxy-a12-a127-6-128gb-duos-blue.html","Samsung Galaxy A12 (A127) (6/128GB) Duos -  Blue","IDR2,499,000"
"1645362434-37","https://els.id","Personal Computer","https://els.id/personal-computer.html","Smartphone","https://els.id/smartphone/smartphone.html","Samsung Galaxy A52s (8/256GB) Duos 5G - Black","https://els.id/samsung-galaxy-a52s-8-256gb-duos-5g-black.html","Samsung Galaxy A52s (8/256GB) Duos 5G - Black","IDR6,285,000"
"1645362510-68","https://els.id","Personal Computer","https://els.id/personal-computer.html","Laptop Premium","https://els.id/laptop/laptop-premium.html","Asus Zenbook UM325UA-OLED554 - Lilac Mist [Ryzen 5 5500U-8GB-SSD 512GB]","https://els.id/asus-zenbook-um325ua-oled554-lilac-mist-ryzen-5-5500u-8gb-ssd-512gb.html","Asus Zenbook UM325UA-OLED554 - Lilac Mist [Ryzen 5 5500U-8GB-SSD 512GB]","IDR13,999,000"
"1645362523-73","https://els.id","Personal Computer","https://els.id/personal-computer.html","Laptop Gaming","https://els.id/laptop/laptop-gaming.html","MSI Gaming Leopard GP66-12UGS-292ID - Black [i7 12700H-16GB-SSD 1TB-RTX3070Ti]","https://els.id/msi-gaming-leopard-gp66-12ugs-292id-black-i7-12700h-16gb-ssd-1tb-rtx3070ti.html","MSI Gaming Leopard GP66-12UGS-292ID - Black [i7 12700H-16GB-SSD 1TB-RTX3070Ti]","IDR33,999,000"
"1645362354-5","https://els.id","Personal Computer","https://els.id/personal-computer.html","Tower PC","https://els.id/personal-computer/tower-pc.html","Tower Asus S500TC-341020000W i3-10105 (LED 20' VX207DE)","https://els.id/tower-asus-s500tc-341020000w-i3-10105-led-20-vx207de.html","Tower Asus S500TC-341020000W i3-10105 (LED 20' VX207DE)","IDR8,699,000"
"1645362559-89","https://els.id","Personal Computer","https://els.id/personal-computer.html","Laptop Mainstream","https://els.id/laptop/laptop-mainstream.html","MSI Modern 14-B11MOU-1037ID - Carbon Grey [i3 1115G4-4GB-SSD 512GB]","https://els.id/msi-modern-14-b11mou-1037id-carbon-grey-i3-1115g4-4gb-ssd-512gb.html","MSI Modern 14-B11MOU-1037ID - Carbon Grey [i3 1115G4-4GB-SSD 512GB]","IDR7,999,000"
"1645362347-2","https://els.id","Personal Computer","https://els.id/personal-computer.html","Tower PC","https://els.id/personal-computer/tower-pc.html","PC Tower Asus S500SC-545000000W (LED 20' VX207DE) (NON DVD)","https://els.id/pc-tower-asus-s500sc-545000000w-led-20-vx207de.html","PC Tower Asus S500SC-545000000W (LED 20' VX207DE) (NON DVD)","IDR9,899,000"
"1645362375-13","https://els.id","Personal Computer","https://els.id/personal-computer.html","All In One PC","https://els.id/personal-computer/all-in-one-pc.html","All In One Lenovo IC3-22ADA05 (57ID) - Black (LED 22' FHD)","https://els.id/all-in-one-lenovo-ic3-22ada05-57id-black-led-22-fhd.html","All In One Lenovo IC3-22ADA05 (57ID) - Black (LED 22' FHD)","IDR8,599,000"
"1645362367-11","https://els.id","Personal Computer","https://els.id/personal-computer.html","Tower PC","https://els.id/personal-computer/tower-pc.html","PC Tower Asus S500MC-341000003W (i3-10105) (LED 20' VX207DE)","https://els.id/pc-tower-asus-s500mc-341000003w-i3-10105-led-20-vx207de.html","PC Tower Asus S500MC-341000003W (i3-10105) (LED 20' VX207DE)","IDR7,899,000"
